title,sku,vendor,product_type,tags,price,description
"Premium Wireless Headphones","SKU001","AudioTech","Electronics","wireless,bluetooth,noise-cancelling",199.99,"High-quality wireless headphones with noise cancellation"
"Organic Cotton T-Shirt","SKU002","EcoWear","Clothing","organic,cotton,sustainable",29.99,"Comfortable organic cotton t-shirt"
"Smart Fitness Watch","SKU003","TechFit","Electronics","fitness,smartwatch,health",299.99,"Advanced fitness tracking smartwatch"
"Handcrafted Wooden Bowl","SKU004","ArtisanCraft","Home & Garden","handmade,wooden,artisan",45.50,"Beautiful handcrafted wooden bowl"
"Professional Camera Lens","SKU005","PhotoPro","Electronics","camera,lens,professional",899.99,"Professional grade camera lens"
"Natural Soap Bar","SKU006","PureSoap","Beauty","natural,organic,handmade",8.99,"Natural handmade soap bar"
"LED Desk Lamp","SKU007","LightTech","Home & Garden","led,desk,lamp,adjustable",79.99,"Adjustable LED desk lamp"
"Yoga Mat","SKU008","FitLife","Sports","yoga,exercise,fitness",34.99,"Non-slip yoga mat for all levels"
"Ceramic Coffee Mug","SKU009","KitchenArt","Home & Garden","ceramic,coffee,mug",15.99,"Beautiful ceramic coffee mug"
"Wireless Charger","SKU010","PowerTech","Electronics","wireless,charger,fast-charging",49.99,"Fast wireless charging pad" 
